Playlist Name,Playlist ID,Track Name,Artist
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Midnight Passion,Gabriel Gonzalez
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Unspoken,Charlie James-Walker
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,All I See In You,Most Iverson
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Golden Moments,Benjamin Davies
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Flow,Isaiah Lewis
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Ludlow,James Jackson Jazz Trio
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Horizon,Luke Marantz Trio
Soft Jazz,37i9dQZF1DX949uWWpmTjT,I Get Along Without You Very Well,Eric Rowland
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Flow,Isaiah Lewis
Soft Jazz,37i9dQZF1DX949uWWpmTjT,The First Step,Baker St.
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Tip Your Hat,6th Street Jazz
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Unspoken,Charlie James-Walker
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Chasing Raindrops,Shay Walsh
Soft Jazz,37i9dQZF1DX949uWWpmTjT,All I See In You,Most Iverson
Soft Jazz,37i9dQZF1DX949uWWpmTjT,Midnight Passion,Gabriel Gonzalez
